fuckin'm transtelecom,Negative 
Ugh! I can't access through my mobile web!,Negative 
@lishreece She has her perfect moments. She just broke one of the tiles on the floor in the hallway. I don't find her very perfect now.,Negative 
@yerex UGH I HATE QUEUEING,Negative 
Weather sucks!!... It's raining again!!,Negative 
hates this weather,Negative 
FACT 1: iHate DirecTV OnDemand w/a passion that burns w/the white hot intensity of 1000 suns. FACT 2: iMiss Comcast. Like a lot,Negative 
Yukky  Rainy Friday,Negative 
I was awoken by loud banging and it continues all day  Good thing I got an early rest last night!,Negative 
@TheColorAbi That sounds shitty too.,Negative 
"@To_The_Moon Hiya hun! It's just not my day. Dentist appointment (ouch!),notebook being a bitch. Feeling sick  How's you?",Negative 
Infamous should have arrived today. But it didn't...,Negative 
@davenavarro6767  it so sucks not having fast internet   dial up sucks everything takes to long to load no way i would have won,Negative 
@Aubs my thoughts exactly re: leaving my 3 dogs. They al hate when they see the luggage come out,Negative 
@db412 Amen to that! My vitamins made me so ill  I felt better before i started taking them!,Negative 
@LAKEVIA @kingdobson dont listen..he do him..but I tried not taking a nap yesterday and I still was up til 1am and than I got up at 7am,Negative 
i have no idea wtf im doing,Negative 
i hate the biatches of this world,Negative 
I hate when it's cloudy. I either want it to be all sunny or raining. It's cloudy,Negative 
I have had it with job hunting. I try all day and nothing works  I bet I couldn't even work at the strip club because of my cider belly!,Negative 
@LRon_Jaii :-S weirdo leave him alone,Negative 
"ow, I just rolled over my toe with my desk chair.",Negative 
@RoTone u suck! had i went to jail i couldnt tweet anymore,Negative 
Got the sniffles   I SO don't want to get sick - I don't need this.,Negative 
"Just got woken up by my mom... Our ENTIRE first floor is flooded. All our furniture, curtains, moms expensive rugs.... Soaked and ruined",Negative 
@mcpactions bugger didn't know that  shame people have to stick there nose in!,Negative 
I HATE FLORISTS  No rose for cassadee tomorrow now =/ fricken fag florist people ={ hmm..need something else...hmm...,Negative 
@doug251192 not impressed....! it might go away if you complain too much!  x,Negative 
i hate my new section this school year.. huhu..,Negative 
Stupid kubuntu keeps on freezing on me. I thought linux never freezes,Negative 
"@charlej47's going to Disney World, lucky bitch.",Negative 
"TGIF I don't like 12 hour workdays  I need to stand up, run around 4 a while.... too much sitting!!! Plus, I have honest ade tea 2day! YAY",Negative 
@EddieMalone yeah sucks eh!,Negative 
"@michelleflores Michelle, I slept for 11 hours last night. I'm still stick with this fever.",Negative 
ive very picky about what i put in my mouth. i hate onions. they make me cry  ),Negative 
in about half a hour i'm going to my english lesson...guess i'll have to wait...and wait for a couple hours so i'm over with it.(( :S   )),Negative 
This class is really long and I'm really getting hungry,Negative 
GIVE A HATER A Hug ? Why would you do that? I don't like mwean people,Negative 
@trvsbrkr it's not working here,Negative 
Stupid MSN It wont let me onnnn,Negative 
"so disappointed with human kind   &quot;What's wrong with the world?&quot;  I have five girls in the garden, innocently enjoying the good weather...",Negative 
Working  god I hate it haha,Negative 
@sarahchambers19 Ooo you is back!  Good time? and argh! It hurtssssssssssssssssssssssssssssssssss!  Xx Hate headaches!,Negative 
fuck you ipod for freezing when i need you most,Negative 
@daisyamy me too i hate revision,Negative 
@Cheapflights_uk  o2 - train from Bristol to London. It's terrible - and no wifi,Negative 
@Katt53 no news on the kid. They can't find the parent!,Negative 
stupid HIP!! I hate you!! And I can't even break in my new kicks!!!  GRRRR!,Negative 
@RobbiedaKid no I was too slow  I hate getting the trailhead then not getting in.,Negative 
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,Negative 
A thursday. Is that REALLY necessary @jonasbrothers ? Have u ever heard of school and horrible mums,Negative 
"We waste way too much paper @ the office... for nothing worthy, that almost disgust me",Negative 
im tweeting... this is so hard... i dont get it...,Negative 
@Cyhwuhx You look nothing like your Twitter avatar!,Negative 
hate living down here in fl. missing GA like crazy...like they say you dont know what you got till its gone  GA on my mind,Negative 
i have geographie next  and I HATE IT!!!!!!!,Negative 
I hate that I am so stinkin tired everyday!  It's so hard to get up...I thought I was supposed to start getting energy back now.,Negative 
fuck you tony,Negative 
"Is waiting, yet again. please, just let this to be over",Negative 
Open office &quot;writer&quot; is weird. I need Word to open word documents correctly,Negative 
Shower. Then back to bed. So sick still.,Negative 
Weather sucks. APUSH filming has become a maybe  At least banquet is tonight,Negative 
im grounded tonight  i hate stupid silent mode,Negative 
Then back to fucking school,Negative 
"@ThePaul it's a modded 360, so you can't send it back?  That Red Ring of Death sucks!  It took weeks to get mine back from Microsoft.",Negative 
My new car is already giving me problems  That cant be a good sign.,Negative 
@t0ns:  nou moe... stomme banken/crisis shit :S,Negative 
@CapAtomyc That link isn't working for me for some reason,Negative 
Just dropped my sistah off @ lax.    #fb,Negative 
@huma_rashid reeeaaaally... why though??  ew i hate stockings,Negative 
has not finished the bio mols mind map  stupid sheet hid sections from me on the back!,Negative 
So booooored  I learned this though! ????????,Negative 
Worst day ever. And its only noon.,Negative 
i want a ghd straightener but the shipping costs 50 pounds? NO DEAL!,Negative 
"@thenk83 I've been waiting about the same time to get in, its whenever they feel like it...",Negative 
Son of a bitch...my media thing that streams music from home isn't working again  Why can't itunes play music from my iphone,Negative 
@AnnieOleary its not a starfleet one  its not even a romulin one  its like the random one i dont remember ha. and you cant wear it! lame,Negative 
@WhitPR lol... i've been in Bk for over a year... going on 2 and u haven't come yet!!!,Negative 
"I told andrew that JT is going to cameo @ MTV movie awards. He said, &quot;he's pissing me off.&quot; guess they're in a fight",Negative 
"Frustrating when u r in the mood, but your partner is at work. Ugh!",Negative 
"@EllipticEye  ....what did she EVER do to piss them off?    I thought you just meant casting-related wank, not more of that crap.",Negative 
Last Friday of Highschool...that's intense! One more test to go...economics. Ewww man!,Negative 
Ugh i hate not having my car!! i miss you my little ford focus!!!,Negative 
i'm getting ready for tonight (teachers dinner on the beach!) but it's raining and i hate this!,Negative 
French isn't meant to be taught to asians,Negative 
"Damn, need to replace MacBook display. CHF 670 for work and hardware - almost half of the MB price",Negative 
So I got the day off cuz I had hundreds of things to do....then I woke up with a f*ckin migrane...there goes my day in bed,Negative 
@Natalie_McLife yeah that is the one thing i hate about tweetdeck,Negative 
Just look @ this hellacious desk...good grief  http://short.to/cevd,Negative 
I hate hiccups,Negative 
hates putting in new contacts,Negative 
English exam! Bleh i hate vocab,Negative 
"Holy crap...Sharapova is taking a beating from an unseeded qualifier...ok, o back to doubles!",Negative 
@tylerakira - ughhh!!! have to go back there tonight,Negative 
"Today i Know, My Life Is Empty...  Thats sad but real!!",Negative 
@brooketastic my keys were cracking and crap. I kind of miss my old phone already.,Negative 
Too hot. Station isn't packed but train packed. No windows open on train. Roasted sardines.,Negative 
"@socialcalamity Haha k we should stop here. If not, it's going to turn into a bitching section. Ohwell, my parents just came home",Negative 
"grr!  i hate being damn near forced to go places.  especially to sit on a bus for an entire day just to sit in a house in podunktown, va",Negative 
My TweetDeck is languishing in API Hell. Again.,Negative 
@lelebaby21 @JazzyFiierce u guys are soo unfair smh...,Negative 
"Oh god, a moth was living in a fucking power outlet!  (Actually, my PowerSquid.)",Negative 
@Hatz94 me too. I hate my computer so much..,Negative 
so much for an amazing day...some pervert just ruined it,Negative 
my feet are cold.....i hate when my feet get cold,Negative 
"my zoids torrent crashed after 8 hours of downloading.  it was only 6% done at that time, because apparently i'm the only zoids fan ever.",Negative 
"FreeSat's coverage (Sky dish) is really, really bad at the moment, blocks all over the place, really annoying!  http://bit.ly/191TpR",Negative 
projects suck,Negative 
And my basketball is flat and there was a massive spider in my pavement chalks  Now the sun has gone in. FML.,Negative 
"@ZomberellaMcFox if I do that, I'll have no pc",Negative 
having a reli gd holiday .. buh now have to revise  x,Negative 
@Karmina13 what's up? what happened? DM me if you need to. TXT on my phone is defunk'd,Negative 
"Hello!Im back andIm drunk,  and as much asI love my friends,I hate how they unintentionally make me feel inadequate.Ineedhelp",Negative 
Jealousy makes u into a different person ... I freakin hate being this way  gotta suck it up I guess,Negative 
Had the hottest and stressiest day at work  f the area manager. So happy to be going home!,Negative 
@Devotfeige man that sucks.,Negative 
@danipoynterjudd  its awful. Xxxx,Negative 
oh i hate friday evening.,Negative 
"@KatieJaneWatson Oh, I forget things you see. Ahah. I hated that! It creeped me out.",Negative 
@wilstobbart I'm still at work,Negative 
@NikkiStixx @valentinamia omg you guys will know when I'm getting nasty!!  My head hurts,Negative 
Waiting in a long line at chick-fil-a,Negative 
I need a blankie  this trains an icebox,Negative 
Came home after getting ratty in a shop with the staff and a blister on the foot. Meh,Negative 
Flip flops are a menace! I've cut one of my feet  Ouchies.,Negative 
@redhalo_pax That sucks.,Negative 
Just here at work........just got out of a meeting with my staff.... I had to be the big bad boss today.,Negative 
why the hell is it raining!! i hate the rain.,Negative 
